job,gender,2cnd,idx,ab_code,job_class,total,perc,stereotype
Geschäftsführer,male,no,"[0, 2]",711.0,Geschäftsführung und Vorstand,192390,77.79305325300231,pro
Geschäftsführerin,female,no,"[1, 3]",711.0,Geschäftsführung und Vorstand,54920,22.206946746997694,anti
Buchhalter,male,no,"[4, 6]",722.0,"Rechnungswesen, Controlling und Revision",177130,34.187060912529915,anti
Buchhalterin,female,no,"[5, 7]",722.0,"Rechnungswesen, Controlling und Revision",340990,65.81293908747008,pro
Analystin,female,no,"[8, 11]",721.0,Versicherungs- u. Finanzdienstleistungen,404040,54.88704440791709,pro
Analyst,male,no,[9],721.0,Versicherungs- u. Finanzdienstleistungen,332090,45.11295559208292,anti
Analysten,male,no,[10],721.0,Versicherungs- u. Finanzdienstleistungen,332090,45.11295559208292,anti
Assistenten,male,no,"[12, 14]",714.0,Büro und Sekretariat,588690,22.343041923803884,anti
Assistentin,female,no,"[13, 15]",714.0,Büro und Sekretariat,2046090,77.65695807619612,pro
Aufseher,male,no,[16],531.0,"Obj.-,Pers.-,Brandschutz,Arbeitssicherh.",304440,73.83227433671242,pro
Aufseherin,female,no,"[17, 19]",531.0,"Obj.-,Pers.-,Brandschutz,Arbeitssicherh.",107900,26.167725663287577,anti
Aufsehers,male,no,[18],531.0,"Obj.-,Pers.-,Brandschutz,Arbeitssicherh.",304440,73.83227433671242,pro
Wirtschaftsprüfer,male,no,"[20, 22]",722.0,"Rechnungswesen, Controlling und Revision",177130,34.187060912529915,anti
Wirtschaftsprüferin,female,no,"[21, 23]",722.0,"Rechnungswesen, Controlling und Revision",340990,65.81293908747008,pro
Bäcker,male,no,"[24, 26]",292.0,Lebensmittel- u. Genussmittelherstellung,240760,67.17446499818644,pro
Bäckerin,female,no,"[25, 27]",292.0,Lebensmittel- u. Genussmittelherstellung,117650,32.82553500181356,anti
Schreiner,male,no,[28],223.0,Holzbe- und -verarbeitung,233910,91.80861920087919,pro
Schreinerin,female,no,[29],223.0,Holzbe- und -verarbeitung,20870,8.191380799120811,anti
Tischlers,male,no,[30],223.0,Holzbe- und -verarbeitung,233910,91.80861920087919,pro
Tischlerin,female,no,[31],223.0,Holzbe- und -verarbeitung,20870,8.191380799120811,anti
Kassierer,male,no,"[32, 34]",621.0,Verkauf (ohne Produktspezialisierung),503620,30.33526485079931,anti
Kassiererin,female,no,"[33, 35]",621.0,Verkauf (ohne Produktspezialisierung),1156560,69.66473514920068,pro
Chef,male,no,"[36, 38]",711.0,Geschäftsführung und Vorstand,192390,77.79305325300231,pro
Chefin,female,no,"[37, 39]",711.0,Geschäftsführung und Vorstand,54920,22.206946746997694,anti
Reiniger,male,no,"[40, 42]",541.0,Reinigung,320760,22.688433680398372,anti
Reinigerin,female,no,"[41, 43]",541.0,Reinigung,1093000,77.31156631960164,pro
